Date,Name,Year,Letterboxd URI,Rating
2021-12-02,8-Bit Christmas,2021,https://boxd.it/uckc,3.5
2021-12-09,Springboard: The Secret History of the First Real Smartphone,2021,https://boxd.it/xhNa,4
2021-12-11,Disney's FastPass: A Complicated History,2021,https://boxd.it/EnIY,4
2021-12-16,Power On: The Story of Xbox,2021,https://boxd.it/yvtq,4.5
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4.5
2021-12-18,Home Sweet Home Alone,2021,https://boxd.it/om1C,0.5
2021-12-18,Spider-Man,2002,https://boxd.it/2a8i,3.5
2021-12-24,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,1.5
2021-12-26,Hawkeye,2021,https://boxd.it/xQqK,3.5
2021-12-26,WandaVision,2021,https://boxd.it/sbGW,3
2021-12-26,Loki,2021,https://boxd.it/sbHg,3
2021-12-26,Schumacher,2021,https://boxd.it/wk2k,3.5
2021-12-31,The Matrix Resurrections,2021,https://boxd.it/n87k,3.5
2022-01-03,Speed,1994,https://boxd.it/28qk,3
2022-01-10,Snatch,2000,https://boxd.it/2b7U,4
2022-01-10,The Shrink Next Door,2021,https://boxd.it/xVtO,3
2022-01-16,Whiplash,2014,https://boxd.it/7bQA,4.5
2022-01-18,Licorice Pizza,2021,https://boxd.it/qTKY,4
2022-01-24,Nobody,2021,https://boxd.it/mLqS,3
2022-02-07,Joe Rogan: Strange Times,2018,https://boxd.it/k6mw,3.5
2022-02-08,Home Team,2022,https://boxd.it/uObC,3
2022-02-12,Kimi,2022,https://boxd.it/u7LW,1.5
2022-02-17,Inventing Anna,2022,https://boxd.it/zhAu,2
2022-03-03,jeen-yuhs: A Kanye Trilogy,2022,https://boxd.it/z7pG,4
2022-03-04,The Batman,2022,https://boxd.it/eDGs,3.5
2022-03-05,The 40 Year Old Virgin,2005,https://boxd.it/21hK,3.5
2022-03-06,Winter on Fire: Ukraine's Fight for Freedom,2015,https://boxd.it/bYWU,4
2022-03-11,The Hyperions,2022,https://boxd.it/kPWY,2
2022-03-20,Sixteen Candles,1984,https://boxd.it/1MJk,3.5
2022-03-21,The Internship,2013,https://boxd.it/3SWS,2.5
2022-03-29,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4.5
2022-04-08,Sonic the Hedgehog 2,2022,https://boxd.it/pb8O,4
2022-04-12,F9,2021,https://boxd.it/dqsU,2.5
2022-04-14,Operation Finale,2018,https://boxd.it/hN1g,4
2022-04-17,Kalashnikov AK-47,2020,https://boxd.it/lO9I,2
2022-04-19,The Way Way Back,2013,https://boxd.it/4Gwq,4
2022-04-25,Uncharted,2022,https://boxd.it/b5Dy,3
2022-04-25,WeCrashed,2022,https://boxd.it/zx6A,3.5
2022-05-11,Vertigo,1958,https://boxd.it/2apI,4.5
2022-05-15,Operation Mincemeat,2021,https://boxd.it/oAY4,3
2022-05-25,Mark Normand: Out To Lunch,2020,https://boxd.it/qfdU,4
2022-05-25,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2022-06-05,Top Gun: Maverick,2022,https://boxd.it/cjr4,5
2022-06-06,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,4
2022-06-07,Looper,2012,https://boxd.it/ham,3.5
2022-06-18,Mr. Bean's Holiday,2007,https://boxd.it/28Yc,4
2022-06-22,Obi-Wan Kenobi,2022,https://boxd.it/yLBA,2.5
2022-06-24,The Northman,2022,https://boxd.it/nK2s,3.5
2022-06-26,Lightyear,2022,https://boxd.it/qV1G,1.5
2022-06-30,Chef,2014,https://boxd.it/6lCG,5
2022-07-18,Joker,2019,https://boxd.it/h4cS,2
2022-07-18,Onward,2020,https://boxd.it/io92,3
2022-07-18,Doctor Sleep,2019,https://boxd.it/i5vI,3.5
2022-07-18,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,3.5
2022-07-18,Black Mirror: USS Callister,2017,https://boxd.it/hQXi,3
2022-07-18,RRR,2022,https://boxd.it/ljDs,4
2022-07-29,Moneyball,2011,https://boxd.it/glS,4
2022-08-07,Chernobyl: The Lost Tapes,2022,https://boxd.it/zDrY,4
2022-08-08,Captain Marvel,2019,https://boxd.it/9vSA,3
2022-08-21,Day Shift,2022,https://boxd.it/sn8W,3.5
2022-08-23,Logan's Run,1976,https://boxd.it/1Vma,4
2022-08-29,The Lincoln Lawyer,2011,https://boxd.it/DRM,3.5
2022-09-04,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3
2022-09-11,Blast from the Past,1999,https://boxd.it/1ToS,3.5
2022-09-12,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,3.5
2022-09-13,Vengeance,2022,https://boxd.it/pu7U,3.5
2022-09-15,Fahrenheit 451,1966,https://boxd.it/28fw,4
2022-09-22,Fletch,1985,https://boxd.it/1XTU,3
